# FRI-06 C08 retained terminal diagnostic census
# report_sha256=69d6dc3764e0f119fcba3f6608bc51664d886f6279d18fdf23ac2b7f372e2ff4
# activation_union_sha256=3a0f78a7fdefc9f49feee9f0fcb5a035bc87f381f8fc8d96049eaa0cdcbc2eb1
family	source	variant	result	category	representative_error
FRI-06.11 new source	html/block/fri06_atomic_inline_baseline.html	border_box_ltr	FAIL	comparator.range_ink_rounded_advance	fri06_atomic_inline_baseline__border_box_ltr/0/0/0: Range ink[0] advance mismatch, expected 9.640625, got 10
FRI-06.11 new source	html/block/fri06_atomic_inline_baseline.html	border_box_rtl	FAIL	comparator.range_ink_rounded_advance	fri06_atomic_inline_baseline__border_box_rtl/0/0/0: Range ink[0] advance mismatch, expected 9.640625, got 10
FRI-06.11 new source	html/block/fri06_atomic_inline_baseline.html	content_box_ltr	FAIL	comparator.range_ink_rounded_advance	fri06_atomic_inline_baseline__content_box_ltr/0/0/0: Range ink[0] advance mismatch, expected 9.640625, got 10
FRI-06.11 new source	html/block/fri06_atomic_inline_baseline.html	content_box_rtl	FAIL	comparator.range_ink_rounded_advance	fri06_atomic_inline_baseline__content_box_rtl/0/0/0: Range ink[0] advance mismatch, expected 9.640625, got 10
FRI-06.11 new source	html/block/fri06_atomic_inline_percentage_block_size.html	border_box_ltr	FAIL	comparator.range_ink_rounded_advance	fri06_atomic_inline_percentage_block_size__border_box_ltr/0: Range ink[0] advance mismatch, expected 57.796875, got 58
FRI-06.11 new source	html/block/fri06_atomic_inline_percentage_block_size.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	fri06_atomic_inline_percentage_block_size__border_box_rtl/0: Range ink[0] visual index mismatch, expected 0, got 2
FRI-06.11 new source	html/block/fri06_atomic_inline_percentage_block_size.html	content_box_ltr	FAIL	comparator.range_ink_rounded_advance	fri06_atomic_inline_percentage_block_size__content_box_ltr/0: Range ink[0] advance mismatch, expected 57.796875, got 58
FRI-06.11 new source	html/block/fri06_atomic_inline_percentage_block_size.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	fri06_atomic_inline_percentage_block_size__content_box_rtl/0: Range ink[0] visual index mismatch, expected 0, got 2
FRI-06.11 new source	html/block/fri06_bidi_mixed_inline.html	border_box_ltr	FAIL	adapter.secondary_inline_container_not_lowered	unsupported display `inline`
FRI-06.11 new source	html/block/fri06_bidi_mixed_inline.html	border_box_rtl	FAIL	adapter.secondary_inline_container_not_lowered	unsupported display `inline`
FRI-06.11 new source	html/block/fri06_bidi_mixed_inline.html	content_box_ltr	FAIL	adapter.secondary_inline_container_not_lowered	unsupported display `inline`
FRI-06.11 new source	html/block/fri06_bidi_mixed_inline.html	content_box_rtl	FAIL	adapter.secondary_inline_container_not_lowered	unsupported display `inline`
FRI-06.11 new source	html/block/fri06_forced_break_strut.html	border_box_ltr	FAIL	comparator.browser_br_rect_as_control_geometry	fri06_forced_break_strut__border_box_ltr/1: y mismatch, expected 2, got 17
FRI-06.11 new source	html/block/fri06_forced_break_strut.html	border_box_rtl	FAIL	comparator.browser_br_rect_as_control_geometry	fri06_forced_break_strut__border_box_rtl/1: y mismatch, expected 2, got 17
FRI-06.11 new source	html/block/fri06_forced_break_strut.html	content_box_ltr	FAIL	comparator.browser_br_rect_as_control_geometry	fri06_forced_break_strut__content_box_ltr/1: y mismatch, expected 2, got 17
FRI-06.11 new source	html/block/fri06_forced_break_strut.html	content_box_rtl	FAIL	comparator.browser_br_rect_as_control_geometry	fri06_forced_break_strut__content_box_rtl/1: y mismatch, expected 2, got 17
FRI-06.11 new source	html/block/fri06_inline_mixed_text_atomic_wrap.html	border_box_ltr	FAIL	adapter.missing_containing_strut_for_atomic_only_line	fri06_inline_mixed_text_atomic_wrap__border_box_ltr: height mismatch, expected 46, got 38
FRI-06.11 new source	html/block/fri06_inline_mixed_text_atomic_wrap.html	border_box_rtl	FAIL	adapter.missing_containing_strut_for_atomic_only_line	fri06_inline_mixed_text_atomic_wrap__border_box_rtl: height mismatch, expected 46, got 38
FRI-06.11 new source	html/block/fri06_inline_mixed_text_atomic_wrap.html	content_box_ltr	FAIL	adapter.missing_containing_strut_for_atomic_only_line	fri06_inline_mixed_text_atomic_wrap__content_box_ltr: height mismatch, expected 46, got 38
FRI-06.11 new source	html/block/fri06_inline_mixed_text_atomic_wrap.html	content_box_rtl	FAIL	adapter.missing_containing_strut_for_atomic_only_line	fri06_inline_mixed_text_atomic_wrap__content_box_rtl: height mismatch, expected 46, got 38
FRI-06.11 new source	html/block/fri06_inline_unequal_line_alignment.html	border_box_ltr	FAIL	artifact.atomic_marker_on_blockified_non_atomic	fri06_inline_unequal_line_alignment__border_box_ltr: layout failed: LayoutErrorOf { site: Node(2), operation: RootLayout, kind: InvalidInput(AtomicInlineParticipation { reason: UnexpectedForNonAtomic }) }
FRI-06.11 new source	html/block/fri06_inline_unequal_line_alignment.html	border_box_rtl	FAIL	artifact.atomic_marker_on_blockified_non_atomic	fri06_inline_unequal_line_alignment__border_box_rtl: layout failed: LayoutErrorOf { site: Node(2), operation: RootLayout, kind: InvalidInput(AtomicInlineParticipation { reason: UnexpectedForNonAtomic }) }
FRI-06.11 new source	html/block/fri06_inline_unequal_line_alignment.html	content_box_ltr	FAIL	artifact.atomic_marker_on_blockified_non_atomic	fri06_inline_unequal_line_alignment__content_box_ltr: layout failed: LayoutErrorOf { site: Node(2), operation: RootLayout, kind: InvalidInput(AtomicInlineParticipation { reason: UnexpectedForNonAtomic }) }
